id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
a0000654,"   654 Zelinda (1908 BM)",2.296989972135766,.2314252270407367,18.12651770863939,278.473849911111,214.0236736842096,1.765408546323951,2.82857139794758,3.48134329460597,39505,0,1851,12,0,8.52
a0000701,"   701 Oriola (1910 KN)",3.015151164774511,.03285430547189613,7.140526747022611,243.7462934564725,326.5343427452898,2.916090467363066,3.114211862185956,5.23566484442443,39881,0,1757,,,9.25
a0000702,"   702 Alauda (1910 KQ)",3.193497411701183,.01941777904438826,20.60549142885711,289.9325792314413,350.5878953900593,3.131486784581944,3.255508038820422,5.7070023977936,38589,0,2023,,,7.25
a0000712,"   712 Boliviana (1911 LO)",2.574426665396861,.1870806205077267,12.76490096416791,230.8279811620012,181.6926358969771,2.092801327382778,3.056052003410943,4.13075074570574,38344,0,1499,,,8.32
a0000713,"   713 Luscinia (1911 LS)",3.389753687280828,.1644116212401137,10.35887837658591,217.7076745415108,137.1325486708501,2.832438787950334,3.947068586611323,6.24108956309901,38314,0,1752,,,8.97
a0000735,"   735 Marghanna (1912 PY)",2.728009216778749,.3226087746755379,16.88303682350321,42.97883335282867,310.0061128721732,1.847929506050183,3.608088927507316,4.50585230583357,37581,0,1397,,,9.55
a0000751,"   751 Faina (1913 RK)",2.550079697635487,.1530355424553823,15.60710404882949,78.86450092269416,302.6242771477589,2.159826867803384,2.940332527467591,4.07229126488518,37571,0,1394,,,8.66
a0000764,"   764 Gedania (1913 SU)",3.19180238434251,.09926389562229608,10.03139487584611,258.9950098082226,155.750203689455,2.874971645616139,3.50863312306888,5.70245930276751,41352,0,1495,,,9.6
a0000772,"   772 Tanete (1913 TR)",3.000564811437538,.0919995066593695,28.85234477938156,63.83888455026177,146.0029918130196,2.72451432908582,3.276615293789256,5.19771808023913,37230,0,1339,,,8.33
a0000776,"   776 Berbericia (1914 TY)",2.93060147716057,.1645810015682523,18.2361145306036,79.73092848327222,307.1553561587667,2.448280150852083,3.412922803469056,5.01699130710639,37220,0,1344,,,7.68
a0000786,"   786 Bredichina (1914 UO)",3.175202242365842,.1606710224388411,14.51833676641058,89.78837617747932,133.2285634831733,2.665039251634821,3.685365233096862,5.65803059050585,37220,0,1231,,,8.65
a0000791,"   791 Ani (1914 UV)",3.118795095361635,.1963834983833532,16.387210227162,130.0216241411857,201.5594398135257,2.506315203793673,3.731274986929597,5.50793068399135,36630,0,1574,,,9.25
a0000814,"   814 Tauris (1916 YT)",3.154305203612649,.3079276765747073,21.82173355977157,88.7958316540151,296.7581037119002,2.183007331056698,4.125603076168601,5.60226658365236,36434,0,1356,,,8.74
a0000821,"   821 Fanny (1916 ZC)",2.771661119856881,.2123531300971743,5.399555897722307,209.7585451516027,33.04523829210341,2.183090205486633,3.360232034227129,4.61443355521802,36508,0,2040,,,11.84
a0000907,"   907 Rhoda (1918 EU)",2.801279267367276,.1606713678712353,19.55789403832079,43.11470502502123,87.65110281519888,2.351193895690044,3.251364639044508,4.68859600083462,41918,0,1283,,,9.76
a0000977,"   977 Philippa (1922 LV)",3.116342905750493,.02724345550746676,15.17538097680989,75.7539017519706,73.26071236830894,3.03144295645167,3.201242855049316,5.50143594737109,36979,0,1381,,,9.67
a0001015,"  1015 Christa (1924 QF)",3.211543392987743,.08368185614050415,9.455148927541371,120.4381956267634,285.2265315996383,2.942795480786756,3.48029130518873,5.75544481134893,33651,0,1779,,,9.03
a0001028,"  1028 Lydina (1923 PG)",3.40680731669367,.1067587009927503,9.393397147225668,62.85005932890783,24.89991794826289,3.043100993030856,3.770513640356483,6.28824652094695,39408,0,1366,,,9.43
a0001061,"  1061 Paeonia (1925 TB)",3.13585183679223,.2106585284245915,2.495888571992971,91.18116006586065,305.6511376110736,2.475257903496027,3.796445770088434,5.55317685102369,33002,0,1592,,,12.09
